soc,readiness,distance,title,employment,wage,wage_gain,wage_gain_pct
25-1067,32.08248757129092,1.7625532173011085,"Sociology Teachers, Postsecondary",11850,84290.0,-21100.0,-25.032625459722386
25-1071,51.75935402307588,1.2519113661673238,"Health Specialties Teachers, Postsecondary",221270,107310.0,-44120.0,-41.11452800298201
25-1072,55.75130532081035,1.148314718535143,"Nursing Instructors and Teachers, Postsecondary",77960,80250.0,-17060.0,-21.258566978193148
25-1081,36.23218784433242,1.6548627659648356,"Education Teachers, Postsecondary",60830,75350.0,-12160.0,-16.138022561380225
25-1082,37.88817434846358,1.611887629857969,"Library Science Teachers, Postsecondary",3630,80340.0,-17150.0,-21.346776201145133
25-1111,34.74121878671367,1.6935554715046737,"Criminal Justice and Law Enforcement Teachers, Postsecondary",13150,76590.0,-13400.0,-17.495756626191408
25-1112,32.66760896853123,1.747368509199495,"Law Teachers, Postsecondary",20060,128500.0,-65310.0,-50.824902723735406
25-1113,36.23382414746141,1.6548203016394893,"Social Work Teachers, Postsecondary",12610,77570.0,-14380.0,-18.53809462421039
25-1121,52.521240274011916,1.23213936606331,"Art, Drama, and Music Teachers, Postsecondary",93560,78620.0,-15430.0,-19.626049351310098
25-1122,38.27554910193523,1.6018347201794914,"Communications Teachers, Postsecondary",29420,78580.0,-15390.0,-19.585136166963604
25-1123,35.18727262110206,1.681979758661598,"English Language and Literature Teachers, Postsecondary",57720,78760.0,-15570.0,-19.768918232605383
25-1124,31.006278434159473,1.7904823302692987,"Foreign Language and Literature Teachers, Postsecondary",19830,79350.0,-16160.0,-20.365469439193447
25-1125,32.963229890799774,1.7396967381199395,"History Teachers, Postsecondary",18790,83820.0,-20630.0,-24.612264376043903
25-1126,31.752360667968627,1.7711204662294187,"Philosophy and Religion Teachers, Postsecondary",20460,80260.0,-17070.0,-21.268377772240218
25-1192,43.887067504367614,1.4562080701378923,"Family and Consumer Sciences Teachers, Postsecondary",2770,75870.0,-12680.0,-16.71279820746013
25-1193,45.3372650635781,1.4185734412725954,"Recreation and Fitness Studies Teachers, Postsecondary",12630,77270.0,-14080.0,-18.221819593632716
25-1194,63.4399681409519,0.9487833030609871,"Career/Technical Education Teachers, Postsecondary",114110,63820.0,-630.0,-0.9871513632090254
25-2011,41.20297705236673,1.5258639231355589,"Preschool Teachers, Except Special Education",478780,38140.0,25050.0,65.6790770844258
25-2012,46.48201766232604,1.3888655308414695,"Kindergarten Teachers, Except Special Education",108870,62680.0,510.0,0.8136566687938737
25-2021,45.88881450584954,1.4042599717532787,"Elementary School Teachers, Except Special Education",1388390,63970.0,-780.0,-1.2193215569798344
25-2022,44.737361596505686,1.4341417644950996,"Middle School Teachers, Except Special and Career/Technical Education",620090,64370.0,-1180.0,-1.8331520894826783
25-2023,57.17719903611547,1.1113108079741,"Career/Technical Education Teachers, Middle School",16870,65030.0,-1840.0,-2.8294633246194065
25-2031,45.4802968500396,1.4148615689382154,"Secondary School Teachers, Except Special and Career/Technical Education",1065210,72040.0,-8850.0,-12.284841754580789
25-2032,65.06980038187051,0.9064869061941625,"Career/Technical Education Teachers, Secondary School",111420,66270.0,-3080.0,-4.6476535385543984
25-2051,47.67116950533252,1.3580053987223688,"Special Education Teachers, Preschool",29510,64830.0,-1640.0,-2.529693043344131
25-2057,41.123820924435606,1.5279181339416532,"Special Education Teachers, Middle School",95200,66810.0,-3620.0,-5.4183505463254
25-2058,47.528975516852434,1.361695529042432,"Special Education Teachers, Secondary School",163930,74260.0,-11070.0,-14.907083221115002
25-2059,55.49101711685198,1.155069556792712,"Special Education Teachers, All Other",33930,76580.0,-13390.0,-17.484983024288326
25-3011,37.0019767440673,1.6348856812137624,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",37310,61540.0,1650.0,2.6811829704257395
25-3021,40.82971455025568,1.5355506004072605,Self-Enrichment Teachers,332110,46800.0,16390.0,35.02136752136752
25-3031,30.39984987051241,1.8062199887567378,"Substitute Teachers, Short-Term",524770,41670.0,21520.0,51.64386849052076
25-3041,33.73739203668159,1.7196061615934655,Tutors,175070,43350.0,19840.0,45.767012687427915
25-4011,52.530377613896164,1.231902239477918,Archivists,7970,64550.0,-1360.0,-2.106893880712626
25-4012,58.13261836999699,1.0865163571677317,Curators,12150,63420.0,-230.0,-0.3626616209397666
25-4013,63.908360987810674,0.9366278620021244,Museum Technicians and Conservators,12310,51440.0,11750.0,22.842146189735615
